Country/region,Continent,"per100,000inhabitants",per1billionvehicle,Total,Date,
Tanzania,Africa,31.1,,"18,054",2019,
Thailand,Asia,32.2,,"22,428",2019,
Timor-Leste,Asia,11.9,,154,2019,
Togo,Africa,28.7,,"2,316",2019,
Tonga,Oceania,33.0,,34,2019,
"Trinidad, and, Tobago","North, America",9.3,,130,2019,
Tunisia,Africa,16.5,,"1,928",2019,
Turkey,Asia,6.7,,"5,573",2019,
Turkmenistan,Asia,13.5,,800,2019,
Uganda,Africa,29.4,,"13,012",2019,
Ukraine,Europe,10.2,,"4,487",2019,
"United, Arab, Emirates",Asia,8.9,,870,2019,
"United, Kingdom",Europe,2.9,3.82,"2,026",2019,
"United, States","North, America",12.9,6.92,"45,404",2021,
Uruguay,"South, America",11.5,,394,2022,
Uzbekistan,Asia,11.7,,"3,853",2019,
Vanuatu,Oceania,14.9,,45,2019,
Venezuela,"South, America",39.0,,"11,127",2019,
Vietnam,Asia,30.6,,"29,475",2019,
Yemen,Asia,29.4,,"8,561",2019,
Zambia,Africa,20.5,,"3,654",2019,
Zimbabwe,Africa,41.2,,"6,037",2019,
